symbol,date,positive_pct,neutral_pct,negative_pct,outlook
AAPL,2025-08-12,48.33,33.33,18.34,neutral
ABBV,2025-08-12,44.44,55.56,0.0,neutral
ABT,2025-08-12,40.0,60.0,0.0,neutral
AMD,2025-08-12,55.0,30.0,15.0,positive
AMZN,2025-08-12,60.0,25.0,15.0,positive
AXP,2025-08-12,75.0,12.5,12.5,positive
AZN,2025-08-12,100.0,0.0,0.0,positive
BABA,2025-08-12,33.33,66.67,0.0,neutral
BAC,2025-08-12,40.0,35.0,25.0,neutral
BRK-B,2025-08-12,44.44,55.56,0.0,neutral
BX,2025-08-12,0.0,100.0,0.0,neutral
COST,2025-08-12,0.0,100.0,0.0,neutral
CRM,2025-08-12,0.71,0.29,0.0,positive
CVX,2025-08-12,50.0,33.33,16.67,positive
DIS,2025-08-12,35.0,45.0,20.0,neutral
GE,2025-08-12,25.0,33.33,41.67,negative
GS,2025-08-12,40.0,35.0,25.0,neutral
HD,2025-08-12,0.77,0.22,0.01,positive
HSBC,2025-08-12,0.0,0.0,0.0,neutral
IBM,2025-08-12,44.44,33.33,22.23,positive
INTU,2025-08-12,33.33,33.33,33.33,neutral
JNJ,2025-08-12,40.0,50.0,10.0,neutral
JPM,2025-08-12,40.0,35.0,25.0,neutral
KO,2025-08-12,0.0,100.0,0.0,neutral
LIN,2025-08-12,0.0,50.0,50.0,neutral
LLY,2025-08-12,0.0,100.0,0.0,negative
MA,2025-08-12,0.0,1.0,0.0,neutral
META,2025-08-12,56.0,30.0,14.0,positive
MRK,2025-08-12,86.67,13.33,0.0,positive
MS,2025-08-12,0.77,0.22,0.01,positive
MSFT,2025-08-12,40.0,35.0,25.0,neutral
NVS,2025-08-12,100.0,0.0,0.0,positive
NVO,2025-08-12,50.0,40.0,10.0,positive
PFE,2025-08-12,100.0,0.0,0.0,positive
PG,2025-08-12,100.0,0.0,0.0,positive
PLTR,2025-08-12,85.0,15.0,10.0,positive
PM,2025-08-12,0.0,0.0,100.0,negative
RTX,2025-08-12,0.75,0.25,0.0,positive
SAP,2025-08-12,0.0,100.0,0.0,neutral
SHEL,2025-08-12,100.0,0.0,0.0,positive
T,2025-08-12,75.0,25.0,0.0,positive
TM,2025-08-12,100.0,0.0,0.0,positive
TMUS,2025-08-12,0.0,100.0,0.0,neutral
TSLA,2025-08-12,75.0,15.0,10.0,positive
TSM,2025-08-12,44.44,55.56,0.0,neutral
UNH,2025-08-12,50.0,33.33,16.67,positive
V,2025-08-12,40.0,66.67,33.33,neutral
WMT,2025-08-12,30.0,50.0,20.0,neutral
GLD,2025-08-12,0.0,100.0,0.0,neutral
IBIT,2025-08-12,40.0,40.0,20.0,neutral
TLT,2025-08-12,100.0,0.0,0.0,positive
HYG,2025-08-12,0.0,100.0,0.0,neutral
FXY,2025-08-12,0.0,100.0,0.0,neutral
SPY,2025-08-12,33.33,66.67,0.0,neutral
QQQ,2025-08-12,40.0,60.0,0.0,neutral
IWM,2025-08-12,100.0,0.0,0.0,positive
